question,subject,choices,answer
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I really loved my newborn baby boy. Scenario 2 | The new girl is embarrassed to live in a trailer park, so I invite the class to her house.",moral_scenarios,"['Wrong, Wrong' 'Wrong, Not wrong' 'Not wrong, Wrong'
 'Not wrong, Not wrong']",2
Say the pupil of your eye has a diameter of 5 mm and you have a telescope with an aperture of 50 cm. How much more light can the telescope gather than your eye?,astronomy,['10000 times more' '100 times more' '1000 times more' '10 times more'],0
" Which of the given formulas of PL is the best symbolization of the following sentence?
Turtles live long lives and are happy creatures, unless they are injured.",formal_logic,['(L • H) ≡ I' '(L • H) ∨ I' 'L • (H ∨ I)' 'L • (H ⊃ R)'],1
Which of these songs was a Top 10 hit for the rock band The Police?,miscellaneous,"[""'Radio Ga-Ga'"" ""'Ob-la-di Ob-la-da'"" ""'De Do Do Do De Da Da Da'""
 ""'In-a-Gadda-Da-Vida'""]",2
What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?,econometrics,"['It will be biased' 'It will be inconsistent' 'It will be inefficient'
 'All of (a), (b) and (c) will be true.']",2
When 'consent' can serve as a circumstance precluding the wrongfulness of a State conduct?,international_law,"['Consent can serve as a circumstance precluding the wrongfulness whenever it is given'
 'Consent can never serve as a circumstance precluding wrongfulness'
 'Consent can serve as a circumstance precluding wrongfulness, provided the consent is valid and to the extent that the conduct remains within the limits of the consent given'
 'Consent can always serve as a circumstance precluding wrongfulness, no matter which organ of the State gives it']",2
Which of the following is an example of the use of a device on the Internet of Things (IoT) ?,high_school_computer_science,"['A car alerts a driver that it is about to hit an object.'
 'A hiker uses a G P S watch to keep track of her position.'
 'A refrigerator orders milk from an online delivery service when the milk in the refrigerator is almost gone.'
 'A runner uses a watch with optical sensors to monitor his heart rate.']",2
"Which of the following sets has the smallest standard deviation? Which has the largest?
I: {1,2,3}
II: {-10,10}
III: {100}
",high_school_statistics,"['I, II' 'II, III' 'III, I' 'III, II']",3
Statement 1 | Every element of a group generates a cyclic subgroup of the group. Statement 2 | The symmetric group S_10 has 10 elements.,abstract_algebra,"['True, True' 'False, False' 'True, False' 'False, True']",2
 Select the best translation into predicate logic: No people drive on Mars.,formal_logic,['~Pd' '(∀x)(Px ∨ ~Dx)' '(∀x)(Px ⊃ ~Dx)' '~Dp'],2
" In which dynasty was the ""Mandate of Heaven"" developed to legitimatize the new rulers?",world_religions,['Shang' 'Zhou' 'Han' 'Xia'],1
How many axles does a standard automobile have?,miscellaneous,['one' 'two' 'four' 'eight'],1
For which of the following thermodynamic processes is the increase in the internal energy of an ideal gas equal to the heat added to the gas?,college_physics,['Constant temperature' 'Constant volume' 'Constant pressure' 'Adiabatic'],1
How can the Upanishads be characterized?,world_religions,['Ritual texts' 'Philosophical texts' 'Hymns' 'Origin stories'],1
"A compiler generates code for the following assignment statement.
G := (A + B) * C - (D + E) * F
The target machine has a single accumulator and a single-address instruction set consisting of instructions load, store, add, subtract, and multiply. For the arithmetic operations, the left operand is taken from the accumulator and the result appears in the accumulator. The smallest possible number of instructions in the resulting code is",college_computer_science,['5' '6' '7' '9'],3
A gene showing codominance,medical_genetics,"['has both alleles independently expressed in the heterozygote'
 'has one allele dominant to the other'
 'has alleles tightly linked on the same chromosome'
 'has alleles expressed at the same time in development']",0
Glycolysis is the name given to the pathway involving the conversion of:,clinical_knowledge,"['glycogen to glucose-1-phosphate.' 'glycogen or glucose to fructose.'
 'glycogen or glucose to pyruvate or lactate.'
 'glycogen or glucose to pyruvate or acetyl CoA.']",2
"A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:",human_sexuality,['a strong ego' 'a weak superego' 'a weak id' 'a strong superego'],1
"According to Metz, what is wrong with consequentialist arguments against capital punishment based on African values?",moral_disputes,"['It is unclear as of yet whether or not capital punishment deters harm to the community.'
 'It is unclear as of yet whether or not capital punishment deters harm to any individuals.'
 'Consequentialism is not supported by African values.'
 'Even though consequentialism is supported by African values, no consequentialist arguments framed in terms of African values have been offered.']",0
Which of the following did the post-war welfare state of 1948 not aim to provide:,sociology,"['free health care and education for all' 'a minimum wage'
 'full employment' 'universal welfare']",1
"The variable $x$ varies directly as the square of $y$, and $y$ varies directly as the cube of $z$. If $x$ equals $-16$ when $z$ equals 2, what is the value of $x$ when $z$ equals $\frac{1}{2}$?",high_school_mathematics,['-1' '16' '-\\frac{1}{256}' '\\frac{1}{16}'],2
Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):,prehistory,"['a great amount of species diversity, or a single species that exhibited a lot of diversity.'
 'very little species diversity during this period and very few hominids.'
 'decreased species diversity due to a prolonged ice age followed by a severe drought.'
 'decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.']",0
"This question refers to the following information.
""Society in every state is a blessing, but government even in its best state is but a necessary evil; in its worst state an intolerable one; for when we suffer, or are exposed to the same miseries by a government, which we might expect in a country without government, our calamity is heightened by reflecting that we furnish the means by which we suffer. Government, like dress, is the badge of lost innocence; the palaces of kings are built on the ruins of the bowers of paradise. For were the impulses of conscience clear, uniform, and irresistibly obeyed, man would need no other lawgiver; but that not being the case, he finds it necessary to surrender up a part of his property to furnish means for the protection of the rest; and this he is induced to do by the same prudence which in every other case advises him out of two evils to choose the least. Wherefore, security being the true design and end of government, it unanswerably follows that whatever form thereof appears most likely to ensure it to us, with the least expense and greatest benefit, is preferable to all others.""
Thomas Paine, Common Sense, 1776
Which of the following ""miseries"" alluded to above were most condemned by Anti-Federalists of the post-Revolutionary era?",high_school_us_history,"[""Organized response to Bacon's Rebellion""
 ""Federal response to Shays's Rebellion""
 'Federal response to the Whiskey Rebellion'
 ""Federal response to Pontiac's Rebellion""]",2
"One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to",professional_psychology,"['tell your client the pros and cons of each program you know about except for the one in which you are enrolled'
 'recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive'
 ""recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program""
 'tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program']",3
The concentration ratio for a monopoly is,high_school_microeconomics,['0' '5' '10' '100'],3
Researchers now believe that the decline of the Maya was caused chiefly by:,prehistory,"['a cataclysm of some kind, such as an earthquake, volcano, or tsunami.'
 'ecological degradation resulting from slash-and-burn farming techniques.'
 'endless wars between neighboring Mayan city-states.'
 'practices of interbreeding that led to a steep rise in congenital disorders.']",1
"A 36-year-old male presents to the office with a 3-week history of low back pain. He denies any recent trauma but says that he climbs in and out of his truck numerous times a day for his job. Examination of the patient in the prone position reveals a deep sacral sulcus on the left, a posterior inferior lateral angle on the right, and a lumbosacral junction that springs freely on compression. The most likely diagnosis is",professional_medicine,"['left-on-left sacral torsion' 'left-on-right sacral torsion'
 'right unilateral sacral flexion' 'right-on-right sacral torsion']",3
"In an organization, the group of people tasked with buying decisions is referred to as the _______________.",marketing,"['Outsourcing unit.' 'Procurement centre.' 'Chief executive unit.'
 'Decision-making unit.']",3
"_____________ can modify data on your system – so that your system doesn’t run correctly or you can no longer access specific data, or it may even ask for ransom in order to give your access.",computer_security,['IM – Trojans' 'Backdoor Trojans' 'Trojan-Downloader' 'Ransom Trojan'],3
A refracting telescope consists of two converging lenses separated by 100 cm. The eye-piece lens has a focal length of 20 cm. The angular magnification of the telescope is,college_physics,['4' '5' '6' '20'],0
"According to d'Holbach, people always act according to _____.",philosophy,"['free choices' 'dictates of the soul' 'necessary natural laws'
 'undetermined will']",2
"A new smartwatch is manufactured in one part of a factory, then secured for shipping in another, independent part of the factory. The weight of the smartwatch has a mean of 62 grams and a standard deviation of 1.0 grams. The weight of the packaging (box, user's guide, bubble wrap, etc.) has a mean of 456 grams and a standard deviation of 6 grams. Together, the distribution of the weight of the smartwatch and its packaging would have the following mean and standard deviation:",high_school_statistics,"['Mean 518 grams; standard deviation 7.0 grams'
 'Mean 518 grams; standard deviation 3.5 grams'
 'Mean 518 grams; standard deviation 6.1 grams'
 'Mean 394 grams; standard deviation 6.1 grams']",2
"A list of numbers has n elements, indexed from 1 to n. The following algorithm is intended to display the number of elements in the list that have a value greater than 100. The algorithm uses the variables count and position. Steps 3 and 4 are missing.
 Step 1: Set count to 0 and position to 1.
 Step 2: If the value of the element at index position is greater
 than 100, increase the value of count by 1.
 Step 3: (missing step)
 Step 4: (missing step)
 Step 5: Display the value of count.
 Which of the following could be used to replace steps 3 and 4 so that the algorithm works as intended?",high_school_computer_science,"['Step 3: Increase the value of position by 1.\n Step 4: Repeat steps 2 and 3 until the value of count is greater than 100.'
 'Step 3: Increase the value of position by 1.\n Step 4: Repeat steps 2 and 3 until t he value of position is greater than n.'
 'Step 3: Repeat step 2 until the value of count is greater than 100.\n Step 4: Increase the value of position by 1.'
 'Step 3: Repeat step 2 until the value of position is greater than n.\n Step 4: Increase the value of count by 1.']",3
Which of the following is not a problem associated with official statistics on strike action?,sociology,"['most strikes go unnoticed by employers and the mass media'
 'not all industrial disputes will be reported by the employer'
 'the definition of strikes excludes those that involve fewer than ten workers or last less than one day'
 'it is hard to compare strikes that were measured in different ways']",0
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I bought an old pick-up truck for work. Scenario 2 | I looked up at the gorgeous waterfall and threw a rock at it.",moral_scenarios,"['Wrong, Wrong' 'Wrong, Not wrong' 'Not wrong, Wrong'
 'Not wrong, Not wrong']",3
How did the 2008 financial crisis affect America's international reputation?,us_foreign_policy,"['It damaged support for the US model of political economy and capitalism'
 'It created anger at the United States for exaggerating the crisis'
 'It increased support for American global leadership under President Obama'
 'It reduced global use of the US dollar']",0
The term 'hegemony' refers to:,sociology,"['the tendency for the working class not to realize their own interests'
 'a dominant ideology that legitimates economic, political and cultural power'
 'a form of dual consciousness based on ideology and everyday experiences'
 'a mode of payment given for outstanding topiary']",1
Would a reservation to the definition of torture in the ICCPR be acceptable in contemporary practice?,international_law,"[""This is an acceptable reservation if the reserving country's legislation employs a different definition""
 'This is an unacceptable reservation because it contravenes the object and purpose of the ICCPR'
 'This is an unacceptable reservation because the definition of torture in the ICCPR is consistent with customary international law'
 'This is an acceptable reservation because under general international law States have the right to enter reservations to treaties']",1
What is the judge ad hoc?,international_law,"['If a party to a contentious case before the ICJ does not have a national sitting as judge, it is entitled to nominate someone as a judge solely for that case, with the title of judge ad hoc'
 'Judge ad hoc is the member of the bench of the ICJ with a casting vote'
 'Judge ad hoc is a surrogate judge, in case a judge is disqualified or passes away'
 'Judge ad hoc is the judge that each party will always nominate in every contentious case']",0
Morning sickness is typically a problem:,human_sexuality,"['during the first trimester' 'during the second trimester'
 'during the third trimester' 'all through the pregnancy']",0
"The population of the city where Michelle was born is 145,826. What is the value of the 5 in the number 145,826?",elementary_mathematics,['5 thousands' '5 hundreds' '5 tens' '5 ones'],0
"The muon decays with a characteristic lifetime of about 10^-6 second into an electron, a muon neutrino, and an electron antineutrino. The muon is forbidden from decaying into an electron and just a single neutrino by the law of conservation of",college_physics,['charge' 'mass' 'energy and momentum' 'lepton number'],3
"This question refers to the following information.
""At least one of the [world's] societies would have to somehow enormously increase its productivity [in order to achieve global hegemony]. That quantum jump would have to be made before the various scientific, technological, agricultural, and industrial revolutions on which our post-quantum-leap world rests. It could only be accomplished by exploiting the ecosystems, mineral resources, and human assets of whole continents outside the lands of the society making the jump. Western Europe did just that by means of its brutality and guns and, more important, by geographical and ecological luck.""
Copyright © 2015 Cambridge University Press.
Alfred Crosby, historian, Ecological Imperialism, 2004
The ""quantum jump"" mentioned in the passage most directly contributed to which of the following developments in the period 1450–1750 C.E.?",high_school_world_history,"['A breakdown in trade routes through the collapse of the established state structure'
 'An increase in the population of the world through more plentiful supplies of food'
 'The spread of Chinese and Indian belief systems across the world'
 'An increase in social unrest']",1
" Select the best English interpretation of the given arguments in predicate logic.
Dm
(∀x)(Wx ⊃ ~Dx)
(∀x)Wx ∨ Ag	/ (∃x)Ax",formal_logic,"['Marina is a dancer. Some weaklings are not dancers. Either everything is a weakling or Georgia plays volleyball. So something plays volleyball.'
 'Marina is a dancer. No weakling is a dancer. Everything is either a weakling or plays volleyball. So something plays volleyball.'
 'Marina is a dancer. Some weaklings are not dancers. Everything is either a weakling or plays volleyball. So something plays volleyball.'
 'Marina is a dancer. No weakling is a dancer. Either everything is a weakling or Georgia plays volleyball. So something plays volleyball.']",3
Colors in a soap bubble result from light,conceptual_physics,"['converted to a different frequency' 'deflection' 'interference'
 'polarization']",2
"This question refers to the following information.
""Indeed, as both the fatwas of distinguished [scholars] who base their opinion on reason and tradition alike and the consensus of the Sunni community agree that the ancient obligation of extirpation, extermination, and expulsion of evil innovation must be the aim of our exalted aspiration, for ""Religious zeal is a victory for the Faith of God the Beneficent""; then, in accordance with the words of the Prophet (Peace upon him!) ""Whosoever introduces evil innovation into our order must be expelled"" and ""Whosoever does aught against our order must be expelled,"" action has become necessary and exigent…""
Letter from Ottoman Sultan Selim I to Safavid Shah Ismail I, 1514
The letter from Selim I is most clearly an example of which of the following?",high_school_world_history,"['The maintenance of military supremacy at all costs'
 'Expanding tensions between religious sects'
 'Factors that brought about the collapse of the Ottoman Empire'
 'Peacemaking efforts among the Islamic empires']",1
"In a cohort study, the risk ratio of developing diabetes was 0.86 when comparing consumers of tea (the exposed) to those who did not drink tea (the unexposed). Which one statement is correct (according to knowledge in 2020)?
",nutrition,"['The tea drinkers have lower risk of developing diabetes.'
 'The tea drinkers have higher risk of developing diabetes.'
 'Based on the information given we cannot tell if the observed difference in disease risk is the result of chance.'
 'The risk ratio is close to the value one, so there is no difference in disease risk between the two groups.']",2
"In animal cells, which of the following represents the most likely pathway that a secretory protein takes as it is synthesized in a cell?",high_school_biology,"['Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER'
 'Ribosome–Golgi apparatus–rough ER–secretory vesicle–plasma membrane'
 'Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER'
 'Ribosome–rough ER–Golgi apparatus–secretory vesicle–plasma membrane']",3
Judge took judicial notice of some facts at the beginning of the trial. Which of the following is not an appropriate kind of fact for judicial notice?,professional_law,"['Indisputable facts.'
 'Facts that have been asserted by individual political organizations.'
 'Facts recognized to be true by common knowledge.'
 'Facts capable of scientific verification.']",1
"A previously healthy 32-year-old woman comes to the physician 8 months after her husband was killed in a car crash. Since that time, she has had a decreased appetite and difficulty falling asleep. She states that she is often sad and cries frequently. She has been rechecking the door lock five times before leaving her house and has to count exactly five pieces of toilet paper before she uses it. She says that she has always been a perfectionist but these urges and rituals are new. Pharmacotherapy should be targeted to which of the following neurotransmitters?",professional_medicine,['Dopamine' 'Glutamate' 'Norepinephrine' 'Serotonin'],3
Which of the following is expected to be a polar molecule?,high_school_chemistry,['PCl4F' 'BF3' 'CO2' 'Si(CH3)4'],0
Which of the following statements about the lanthanide elements is NOT true?,college_chemistry,"['The most common oxidation state for the lanthanide elements is +3.'
 'Lanthanide complexes often have high coordination numbers (> 6).'
 'All of the lanthanide elements react with aqueous acid to liberate hydrogen.'
 'The atomic radii of the lanthanide elements increase across the period from La to Lu.']",3
"A new compound is synthesized and found to be a monoprotic acid with a molar mass of 248 g/mol. When 0.0050 mol of this acid are dissolved in 0.500 L of water, the pH is measured as 3.89. What is the pKa of this acid?",high_school_chemistry,['3.89' '7.78' '5.78' '2.33'],2
"When an arguer causes confusion during refutation because of real or feigned lack of an ability to engage in refutation, that arguer may have committed the fallacy of",logical_fallacies,"['poor sportsmanship' 'appeal to compassion' 'argument against the person'
 'ignorance of refutation']",3
"In a genetic test of a newborn, a rare genetic disorder is found that has X-linked recessive transmission. Which of the following statements is likely true regarding the pedigree of this disorder?",college_medicine,"['All descendants on the maternal side will have the disorder.'
 'Females will be approximately twice as affected as males in this family.'
 'All daughters of an affected male will be affected.'
 'There will be equal distribution of males and females affected.']",2
Exploitation of the Heartbleed bug permits,computer_security,"['overwriting cryptographic keys in memory' 'a kind of code injection'
 'a read outside bounds of a buffer' 'a format string attack']",2
The pleura,anatomy,"['have no sensory innervation.' 'are separated by a 2 mm space.'
 'extend into the neck.' 'are composed of respiratory epithelium.']",2
"The presence of homologous structures in two different organisms, such as the humerus in the front limb of a human and a bird, indicates that",college_biology,"['the human and bird are polyphyletic species'
 ""a human's and bird's evolution is convergent""
 'the human and bird belong to a clade'
 'the human and bird developed by analogy']",2
"What is the first-line drug for patients with type 2 diabetes and obesity, as of 2020?
",nutrition,['Acarbose' 'Metformin' 'Sulphonylureas' 'Insulin'],1
At which stage in the planning process would a situation analysis be carried out?,public_relations,"['Defining the program' 'Planning the program'
 'Taking action and implementing ideas' 'Evaluation of the program']",0
"Compared with the mass of a uranium atom undergoing fission, the combined masses of the products after fission are",conceptual_physics,['less' 'more' 'the same' 'zero'],0
"Many Web browsers allow users to open anonymous windows. During a browsing session in an anonymous window, the browser does not record a browsing history or a list of downloaded files. When the anonymous window is exited, cookies created during the session are deleted. Which of the following statements about browsing sessions in an anonymous window is true?",high_school_computer_science,"[""The activities of a user browsing in an anonymous window will not be visible to people who monitor the user's network, such as the system administrator.""
 ""Items placed in a Web store's shopping cart for future purchase during the anonymous browsing session will not be saved on the user's computer.""
 'A user will not be able to log in to e-mail or social media accounts during the anonymous browsing session.'
 'A user browsing in an anonymous window will be protected from viruses launched from any web sites visited or files downloaded.']",1
The complex question fallacy consists of,logical_fallacies,"[""arguing something is inferior just because it doesn't do something it was never intended to do.""
 'including more than one claim in the proposition and treating proof for one claim as proof for all the claims.'
 'drawing a conclusion before examining the evidence, and only considering evidence that supports that conclusion.'
 'asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.']",3
Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?,high_school_geography,"['Duplication of efforts occurs often.'
 'Social problems of the central city spill over into the surrounding residential suburbs.'
 'Inefficiency in providing services occurs often.'
 ""One neighborhood's efforts to reduce pollution are always supported by neighboring communities.""]",3
How the consent to be bound of a State may be expressed?,international_law,"['The consent of a State to be bound is expressed only by ratification'
 'The consent of a state to be bound by a treaty may be expressed by signature, ratification, acceptance, approval or accession'
 'The consent of a State to be bound is expressed by signature'
 'The consent of a State to be bound is expressed by whatever means they choose']",1
"Which of the following statements is correct (according to knowledge in 2020)?
",nutrition,"['Consumers with phenylketonuria must avoid the consumption of the sweetener aspartame'
 'Consumers with phenylketonuria must avoid the consumption of the sweetener saccharin'
 'Consumers with phenylketonuria must avoid the consumption of the sweetener sucralose'
 'Consumers with phenylketonuria must avoid the consumption of the sweetener acesulfame K']",0
"This question refers to the following information.
Our leaders talk about stopping aggression from the north, but this was a struggle among groups of Vietnamese until we intervened. We seem bent upon saving the Vietnamese from Ho Chi Minh even if we have to kill them and demolish their country to do it. As the native people survey bombed-out villages, women and children burned by napalm, rice crops destroyed and cities overrun with our military personnel, they are doubtless saying secretly of the Vietcong guerillas and of the American forces, ""A plague on both your houses."" … Stop the bombing, north and south, end search and destroy offensive sweeps, and confine our military action to holding operations on the ground. Bombing the north has failed to halt or seriously check the flow of troops to the south and may, in fact, have prompted a much greater war effort by Hanoi.
—Senator George McGovern, ""The Lessons of Vietnam,"" April 25, 1967
Which of the following opinions from the 1960s most directly reflects the perspective of George McGovern's speech?",high_school_us_history,"['Americans must maximize their technological edge in Vietnam.'
 'American bombing in Vietnam is step by step leading to progress in the war.'
 'American bombing in Vietnam is a failure.'
 'America must not give in to defeatism about the war in Vietnam.']",2
"The Singleton design pattern is used to guarantee that only a single instance of a class may be instantiated. Which of the following is (are) true of this design pattern?
I. The Singleton class has a static factory method to provide its instance.
II. The Singleton class can be a subclass of another class.
III. The Singleton class has a private constructor.",college_computer_science,"['I only' 'II only' 'III only' 'I, II, and III']",3
"As of 2017, how many of the world’s 1-year-old children today have been vaccinated against some disease? *",global_facts,['80%' '60%' '40%' '20%'],0
An auditor traces the serial numbers on equipment to a nonissuer’s subledger. Which of the following management assertions is supported by this test?,professional_accounting,"['Valuation and allocation' 'Completeness' 'Rights and obligations'
 'Presentation and disclosure']",1
What characteristic is not a key feature of the 'open systems' model of management?,management,['Morale' 'Innovation' 'Growth resource' 'Adaptation'],0
A 22-year-old male marathon runner presents to the office with the complaint of right-sided rib pain when he runs long distances. Physical examination reveals normal heart and lung findings and an exhalation dysfunction at ribs 4-5 on the right. Which of the following muscles or muscle groups will be most useful in correcting this dysfunction utilizing a direct method?,professional_medicine,"['anterior scalene' 'latissimus dorsi' 'pectoralis minor'
 'quadratus lumborum']",2
Which image data augmentation is most common for natural images?,machine_learning,"['random crop and horizontal flip' 'random crop and vertical flip'
 'posterization' 'dithering']",0
Hygiene factors are associated with which writer?,management,"['Frederick Hertzberg' 'D.C. McClelland' 'Abraham Maslow'
 'Douglas McGregor']",0
The energy for all forms of muscle contraction is provided by:,clinical_knowledge,['ATP.' 'ADP.' 'phosphocreatine.' 'oxidative phosphorylation.'],0
The most important goal of a behavioral intervention is:,virology,"['Change in behavior' 'Comprehensive coverage'
 'Effective use of behavioral theory' 'Sustained behavior change']",3
"Which of the following statements about iodine is correct, as of 2020?
",nutrition,"['50% of adults consume iodine at levels below the RNI'
 'Dairy products are a poor source of iodine'
 'The iodine content of organic milk is generally lower that the level in non-organic milk'
 'UK dietary reference values recommend an increase in iodine intake in pregnancy']",2
"3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as",college_chemistry,['an acid' 'a base' 'a catalyst' 'a reducing agent'],3
In Angle's Class II Div 2 occlusion there is,anatomy,"['excess overbite of the upper lateral incisors.'
 'negative overjet of the upper central incisors.'
 'excess overjet of the upper lateral incisors.'
 'excess overjet of the upper central incisors.']",2
"As of 2019, about what percentage of Russians say it is very important to have free media in our country without government/state censorship?",global_facts,['38%' '53%' '68%' '83%'],0
